"original","protocol","sip","sport","dip","dport"
"TCP 80.66.17.35:7531->25.0.17.188:80","TCP","80.66.17.35","7531","25.0.17.188","80"
"TCP 80.66.19.89:21476->25.0.18.24:80","TCP","80.66.19.89","21476","25.0.18.24","80"
"TCP 213.184.22.253:48017->25.0.18.231:80","TCP","213.184.22.253","48017","25.0.18.231","80"
"TCP 12.166.7.188:64025->25.0.18.23:80","TCP","12.166.7.188","64025","25.0.18.23","80"
"TCP 80.66.15.154:47673->25.0.17.238:80","TCP","80.66.15.154","47673","25.0.17.238","80"
"TCP 80.66.18.147:19455->25.0.18.242:80","TCP","80.66.18.147","19455","25.0.18.242","80"
"TCP 122.52.248.81:64129->25.0.18.69:80","TCP","122.52.248.81","64129","25.0.18.69","80"
"TCP 122.52.250.124:10094->25.0.19.17:80","TCP","122.52.250.124","10094","25.0.19.17","80"
"TCP 122.52.249.40:8863->25.0.18.50:80","TCP","122.52.249.40","8863","25.0.18.50","80"
"TCP 122.52.232.0:47697->25.0.18.159:80","TCP","122.52.232.0","47697","25.0.18.159","80"
"TCP 213.184.20.253:4574->25.0.17.245:80","TCP","213.184.20.253","4574","25.0.17.245","80"
"TCP 12.166.8.9:42296->25.0.18.251:80","TCP","12.166.8.9","42296","25.0.18.251","80"
"TCP 213.184.23.109:8839->25.0.19.36:80","TCP","213.184.23.109","8839","25.0.19.36","80"
"TCP 213.184.19.249:21231->25.0.18.125:80","TCP","213.184.19.249","21231","25.0.18.125","80"
"TCP 122.52.236.254:30671->25.0.18.71:80","TCP","122.52.236.254","30671","25.0.18.71","80"
"TCP 80.66.19.132:51760->25.0.18.161:80","TCP","80.66.19.132","51760","25.0.18.161","80"
"TCP 80.66.14.249:19849->25.0.19.63:80","TCP","80.66.14.249","19849","25.0.19.63","80"
"TCP 213.184.23.64:8764->25.0.18.72:80","TCP","213.184.23.64","8764","25.0.18.72","80"
